Number,State,Value,Param batch_size,Param ent_coef,Param gamma,Param learning_rate,Param n_steps,Param net_arch
38,PRUNED,-2.849017381668091,64,0.3750527231246529,0.9077967764091478,0.000746166203154971,2048,256_256
39,PRUNED,-3.6177849769592285,128,0.12907662731640415,0.9000611842181901,0.00028392294438050634,512,64_64
40,PRUNED,-3.6820685863494873,64,0.17825712115688272,0.9659249730859859,1.7887173903377582e-05,1024,256_256
41,PRUNED,-2.8486554622650146,64,0.29114473213227354,0.9327968436899821,0.0007437807554833869,512,64_64
42,COMPLETE,-2.9755568504333496,64,0.24501031279477048,0.9360495881639653,0.000615741801807606,512,64_64
43,PRUNED,-2.993001699447632,64,0.4030818931714617,0.9432021581373724,0.0005590505297899229,512,64_64
44,COMPLETE,-2.798962116241455,32,0.3189610024850674,0.9289113739506362,0.0007840804802802708,2048,64_64
45,PRUNED,-3.4819366931915283,32,0.3268631900824272,0.9282142037259861,0.0009906875965967074,2048,64_64
46,PRUNED,-3.08420991897583,32,0.03551628212614069,0.911591152964344,0.00037547474798698473,2048,64_64
47,PRUNED,-3.4804298877716064,32,0.20447213507232406,0.9263814224756641,0.0008021029748269554,2048,256_256
48,PRUNED,-3.729705333709717,32,0.023110169464925043,0.9489726135471037,2.956194782529102e-05,2048,128_128
49,PRUNED,-3.4842536449432373,32,0.42542635962731484,0.9960676006852787,0.0004720536139563884,2048,64_64
50,PRUNED,-3.6586475372314453,128,0.1449885049134437,0.9411694470109206,6.619024268572918e-05,1024,64_64_64
51,PRUNED,-2.8786306381225586,64,0.2889099789917361,0.9352633845559127,0.0008095478617344401,512,64_64
52,PRUNED,-2.819539785385132,128,0.24907975871920154,0.931050694639559,0.0006285627676766238,512,64_64
53,PRUNED,-3.2656288146972656,32,0.3280816444883788,0.9357533852168628,0.0008043500757697195,512,64_64
54,PRUNED,-3.6183993816375732,256,0.22194345974797014,0.9299443741618765,0.00054971543881777,2048,64_64
55,PRUNED,-3.793938159942627,64,0.008953964806898421,0.9540837887815874,0.0006405944132698939,512,64_64
56,PRUNED,-3.519723415374756,128,0.40299004638599406,0.9474403136393466,0.0008117220665291826,4096,64_64_64
57,PRUNED,-3.598902940750122,64,0.05323350269251203,0.9196054315160049,0.00020113894376160555,1024,128_128
58,PRUNED,-3.5235066413879395,128,0.2820186694869609,0.9248553503388979,0.0004285121939219687,4096,64_64_64
59,PRUNED,-2.982750177383423,32,0.16841963223911224,0.9913660499432542,0.0009817551302579576,512,64_64
