Number,State,Value,Param clip_range,Param ent_coef,Param gamma,Param learning_rate,Param lstm_hidden_size,Param recurrent_batch_size,Param recurrent_n_epochs,Param recurrent_n_steps
16,COMPLETE,-2.550942897796631,0.20405526742198657,0.16817293508388076,0.9503698186464983,0.0004197111687067549,64,64,3,128
17,PRUNED,-3.240584135055542,0.10709837959289117,0.09691599917909773,0.9920874016236846,0.0002614421041869744,32,32,5,64
18,PRUNED,-3.00132417678833,0.3408796665876747,0.26155378250288563,0.9729200686601184,0.0006381025540811614,64,64,5,512
19,PRUNED,-2.551168918609619,0.36318014068641474,0.04441558326846018,0.9601967095073346,0.00012001629444458129,128,64,10,64
20,PRUNED,-2.912504196166992,0.29991960899082293,0.4927162744145547,0.9743571842869317,0.0005661482781507629,32,32,3,128
21,PRUNED,-3.4705708026885986,0.21549037093671602,0.012277238789203563,0.9917905535842195,0.0002691826516961893,64,64,5,128
22,COMPLETE,-2.5509307384490967,0.1670239888078982,0.3099254291072474,0.9550405152769702,0.00014846336527741437,128,64,3,64
23,PRUNED,-4.199406147003174,0.18434633243915838,0.1981743219921201,0.9501141415235493,0.00021723244219584096,128,64,3,64
24,COMPLETE,-2.5241122245788574,0.12263494499602756,0.3033766230288647,0.9568266726997181,9.895957348224143e-05,128,64,3,64
25,PRUNED,-4.228846549987793,0.10032927843995523,0.09306735667651334,0.9612522823436905,8.303983954354367e-05,128,64,3,64
26,PRUNED,-4.279045104980469,0.24310321820606529,0.042468309702389455,0.9685935675468863,0.0006117950392109906,128,64,3,64
27,PRUNED,-3.0455989837646484,0.12541509364275844,0.15035186555802924,0.9584863992318144,0.000996726269243073,64,64,5,256
28,PRUNED,-2.7108206748962402,0.3325684837502812,0.25218342329935267,0.9685961779184942,9.361793382007042e-05,32,64,5,512
29,PRUNED,-2.65092134475708,0.2688492500920942,0.4670078609210986,0.9569704960948215,0.00030596710576538433,32,128,10,64
30,PRUNED,-2.543306827545166,0.2863871211050557,0.34629616704900185,0.95168674399156,5.276533601962533e-05,256,32,3,512
31,PRUNED,-3.191226005554199,0.17955719386620608,0.09412758917803445,0.9789363305245512,6.139403733497741e-05,64,32,10,128
32,PRUNED,-2.6025357246398926,0.15053688124308454,0.37049235973237976,0.9531747105297163,0.00012342781315258732,128,64,3,64
33,PRUNED,-2.6616671085357666,0.12537216136295168,0.2678633341582595,0.9562207659487603,0.0004551256690487817,128,64,3,64
