Number,State,Value,Param batch_size,Param exploration_final_eps,Param exploration_fraction,Param gamma,Param gradient_steps,Param learning_rate,Param net_arch,Param tau
34,PRUNED,-3.6205132007598877,32,0.11191632121355466,0.3243515341526564,,2,0.00020177490804371647,64_64_64,0.024907944740325517
35,PRUNED,-3.6823058128356934,32,0.03212708695276685,0.36497706968665516,,2,0.0009629694739068565,64_64_64,0.03511154258839288
36,COMPLETE,-3.4439799785614014,256,0.23996152902902465,0.16986933104626134,,2,0.0006206261386103134,256_256,0.01880494239996441
37,PRUNED,-3.6143596172332764,256,0.2819912335165294,0.16506373684006775,,4,0.000641859423230716,256_256,0.01804929314827649
38,PRUNED,-3.7255005836486816,256,0.14662176842871108,0.20680658278987463,,2,1.9188196876866206e-05,256_256,0.007645659354406626
39,PRUNED,-3.5675652027130127,256,0.17406385240109862,0.12495884611332564,,1,0.00012596329868869266,256_256,0.01195725900013493
40,PRUNED,-3.6133408546447754,256,0.23599821619901,0.16898368128183044,,2,0.0002689142692560428,256_256,0.004140691489058427
41,PRUNED,-3.6982715129852295,64,0.09185332801601653,0.12820818431556644,,4,5.340239060926477e-05,256_256,0.022960183811840902
42,PRUNED,-3.6134161949157715,256,0.2444861847853291,0.23892043364744378,,2,0.0006872650406526628,64_64_64,0.03872268942039169
43,FAIL,,32,0.0636707466337057,0.3023570381385403,,2,0.0003798235745088155,256_256,0.013766893942470881
44,PRUNED,-3.573697566986084,32,0.2071007472808397,0.2985806972940564,0.9453243039600827,2,0.00037924811595269005,256_256,0.013384387320443678
45,PRUNED,-3.7775940895080566,128,0.06571140929759844,0.1940527450522186,0.9937492257626248,2,0.0001808002958168932,64_64,0.016757334703423863
46,PRUNED,-3.5616912841796875,32,0.28410321670871214,0.3098635193786416,0.901940645729125,2,0.0005216059987714127,64_64_64,0.03587801212551355
47,PRUNED,-3.789013385772705,256,0.21882117410564864,0.22420453932020024,0.996165351192825,2,0.00026426341910402193,64_64,0.023289403444714307
