Number,State,Value,Param batch_size,Param ent_coef,Param gamma,Param learning_rate,Param n_stack,Param n_steps,Param net_arch
20,PRUNED,-3.653975009918213,256,0.06967776226874574,0.998810868602519,0.00035973766329232195,40,1024,256_256
21,COMPLETE,-2.589221477508545,256,0.315891726086008,0.9825165814117465,6.464304172061959e-05,30,1024,128_128
22,COMPLETE,-2.5964648723602295,256,0.3041501672280981,0.9794582257753022,7.306604028787637e-05,30,1024,128_128
23,COMPLETE,-2.58874249458313,256,0.1890237063634291,0.9868086570989236,7.488415767888843e-05,30,1024,128_128
24,PRUNED,-3.030505657196045,128,0.17759329402760368,0.969509712506682,5.1141872093629723e-05,30,1024,128_128
25,PRUNED,-3.5256733894348145,256,0.06221168674424909,0.9869840736517203,2.54556054181786e-05,40,1024,128_128
26,COMPLETE,-2.6985630989074707,256,0.2980635205604554,0.9615620666781768,8.233119870833908e-05,30,1024,128_128
27,PRUNED,-3.703493595123291,256,0.13749334640262476,0.9857918827683364,5.06375012645876e-05,5,4096,128_128
28,PRUNED,-3.2370619773864746,256,0.22273398611401407,0.9580371215367959,0.00013583701591836188,15,2048,256_256
29,PRUNED,-3.7528579235076904,128,0.34528413592305435,0.9987897724227385,0.00032229502473040496,40,512,64_64_64
30,PRUNED,-3.119112253189087,32,0.15462417235680154,0.9735843577878882,4.832109716135894e-05,50,1024,128_128
31,COMPLETE,-2.6270852088928223,256,0.382523294331853,0.9759122891182842,9.324762975728516e-05,30,1024,128_128
32,PRUNED,-3.3707053661346436,256,0.4782896110278023,0.9841201868936671,6.137802409398453e-05,30,1024,128_128
33,PRUNED,-3.143944501876831,256,0.3667747289438916,0.9763176970590264,0.00010134424848945845,20,1024,128_128
34,COMPLETE,-2.653386116027832,256,0.2370893266993522,0.9687884673167955,2.6377933191413522e-05,30,512,128_128
35,PRUNED,-3.2543301582336426,256,0.3505490472329668,0.9894108376260258,0.00015554587025924869,40,1024,128_128
36,PRUNED,-3.5215461254119873,64,0.2074477885543065,0.9178804851556956,4.078361483477115e-05,30,4096,64_64
37,PRUNED,-3.216811418533325,32,0.08525869986998072,0.9787656078804594,7.941180721301545e-05,50,1024,64_64_64
38,PRUNED,-3.506901264190674,256,0.1328122169849236,0.9407875972462976,3.1773256903486036e-05,20,2048,128_128
39,PRUNED,-2.963132858276367,64,0.4962840013643043,0.900540398962354,6.220365055470738e-05,10,512,256_256
40,PRUNED,-3.5065906047821045,256,0.034853950053521196,0.9953617143043003,0.00018372414533455412,30,4096,64_64
41,COMPLETE,-2.543956756591797,256,0.30383356919763044,0.983619546119927,7.624734566937734e-05,30,1024,128_128
42,COMPLETE,-2.5251951217651367,256,0.2474091997521978,0.9855104016949607,0.00010910895781711886,30,1024,128_128
43,PRUNED,-2.977097749710083,256,0.17773751224294668,0.9900587837521857,0.00011769387320908601,30,1024,128_128
44,PRUNED,-3.855135440826416,32,0.26672648453251846,0.9845139589965929,0.00027424101209297375,40,1024,128_128
45,COMPLETE,-2.5159249305725098,256,0.3200713875472002,0.9941504418725661,3.948226978219148e-05,30,1024,128_128
46,FAIL,,64,0.2150830499314683,0.9915868025479795,1.6503385532725747e-05,10,2048,64_64
47,PRUNED,-3.2722747325897217,64,0.22342236589008327,0.9941792147040033,4.032885165165342e-05,10,2048,64_64
48,PRUNED,-2.953711986541748,256,0.15427366723152525,0.9881098320882561,3.197086267020507e-05,15,1024,128_128
49,PRUNED,-3.6599795818328857,128,0.01510438930084641,0.9652871390610192,1.9192281983409166e-05,30,1024,64_64_64
50,PRUNED,-2.897916078567505,256,0.11470247651008829,0.993168260159042,0.00011364695031944941,20,512,128_128
51,PRUNED,-3.317963123321533,256,0.40810337023484944,0.9723602189280381,0.00015089512900106275,30,1024,256_256
52,COMPLETE,-2.576833963394165,256,0.287321708822928,0.9834437523476188,7.867396770862678e-05,30,1024,128_128
53,COMPLETE,-2.5385680198669434,256,0.26130014097518806,0.9894764767057749,8.143577528565381e-05,30,1024,128_128
54,COMPLETE,-2.5186047554016113,256,0.25987714397863554,0.9961255088495895,9.022871731205012e-05,30,1024,128_128
55,COMPLETE,-2.5436062812805176,256,0.2475957989739447,0.9952877154074399,8.818220084212069e-05,30,1024,128_128
56,PRUNED,-2.820208787918091,256,0.23462248863184154,0.9976399832616479,9.763721470817976e-05,30,1024,128_128
57,PRUNED,-3.5737674236297607,256,0.007195221619451082,0.9932435381997436,5.4292236261584076e-05,30,1024,128_128
58,PRUNED,-3.393571138381958,32,0.25645724732703723,0.9897091405677108,4.326577029005748e-05,30,4096,128_128
59,PRUNED,-3.0030415058135986,256,0.1620040181907444,0.995720932064369,9.164618570026823e-05,5,1024,128_128
60,PRUNED,-3.5116868019104004,64,0.31454063400911453,0.9913775733206932,0.00018058871782810357,30,1024,128_128
61,PRUNED,-3.397547960281372,256,0.10800931836306778,0.9235977659195262,0.00013876374847265964,50,2048,64_64
62,PRUNED,-2.7970101833343506,256,0.19639354263633552,0.982336360518839,8.374396117715421e-05,30,1024,128_128
63,COMPLETE,-2.5618903636932373,256,0.28980010093701564,0.9869521130154815,6.767265768662897e-05,30,1024,128_128
64,PRUNED,-3.328482151031494,256,0.39913665860657765,0.9966988681892858,5.9924187631818554e-05,30,1024,128_128
65,COMPLETE,-2.519803524017334,256,0.3222997095907362,0.9874539705814512,6.897431856610775e-05,30,1024,128_128
66,PRUNED,-3.31231689453125,128,0.32410634517300146,0.992249865194553,0.00011139167013275542,30,1024,128_128
67,PRUNED,-3.363598585128784,256,0.4284988259571916,0.9989109408839731,4.727872668229416e-05,30,1024,128_128
68,PRUNED,-3.1594648361206055,256,0.253562678254673,0.9800178240284002,3.683728028309306e-05,15,1024,64_64_64
69,PRUNED,-3.7469592094421387,256,0.20013642802040413,0.9767669614044125,0.0009606261224252232,30,1024,128_128
70,PRUNED,-3.072455406188965,256,0.33951693286108775,0.9897439825944317,7.080153879076906e-05,30,1024,256_256
71,PRUNED,-3.2059783935546875,256,0.04657770207964589,0.985147743382975,5.5549442863044664e-05,10,1024,128_128
